Gender,Age,Construction_type,New_construction,Elevator,Floors_in_the_building,Floor_area,Number_of_rooms,Number_of_bathrooms,Ceiling_height,Floor,Balcony,Furniture,Renovation,Children_are_welcome,Pets_allowed,Utility_payments,Address,Price,Duration,amenities,appliances,parking
1,21,2,1.0,1.0,14.0,70.0,2.0,1.0,3.0,10.0,Not available,,Major Renovation,11.0,10.0,10.0,1348,800.0,1,6,186,3
1,45,4,0.0,0.0,4.0,40.0,1.0,1.0,3.2,4.0,Open balcony,,Major Renovation,0.0,0.0,0.0,557,400000.0,1,6,186,3
1,66,9,0.0,1.0,10.0,100.0,3.0,1.0,3.0,7.0,0,,major_renovation,0.0,0.0,0.0,1088,1400.0,1,6,186,3
0,18,7,1.0,1.0,19.0,60.0,2.0,1.0,3.0,15.0,not_available,1,designer_renovation,1.0,2.0,0.0,211,1000.0,1,11,139,0
0,44,8,0.0,1.0,9.0,82.0,3.0,1.0,2.75,8.0,multiple_balconies,1,cosmetic_renovation,1.0,0.0,0.0,1478,400000.0,1,6,186,3
0,36,8,0.0,1.0,9.0,80.0,3.0,1.0,2.75,9.0,closed_balcony,1,euro_renovation,0.0,0.0,0.0,3647,280000.0,1,12,124,-1
1,21,7,1.0,1.0,15.0,83.0,3.0,1.0,3.0,13.0,open_balcony,,major_renovation,11.0,10.0,10.0,1806,1400.0,1,6,186,3
1,40,7,1.0,1.0,15.0,100.0,3.0,2.0,3.0,9.0,open_balcony,,major_renovation,11.0,10.0,10.0,527,1300.0,1,6,186,3
0,24,7,1.0,1.0,15.0,70.0,2.0,1.0,3.0,12.0,open_balcony,,designer_renovation,1.0,0.0,0.0,2181,1300.0,1,6,186,3
1,44,7,1.0,1.0,14.0,135.0,4.0,2.0,3.0,9.0,open_balcony,,major_renovation,11.0,10.0,10.0,1348,1300.0,1,6,186,3
1,52,8,0.0,1.0,9.0,81.0,3.0,1.0,3.0,8.0,open_balcony,1,major_renovation,1.0,2.0,0.0,389,260000.0,1,6,186,3
1,58,4,0.0,0.0,4.0,40.0,2.0,1.0,2.8,2.0,Open balcony,Available,Euro Renovation,11.0,10.0,10.0,1577,350000.0,1,6,186,3
0,47,3,0.0,1.0,9.0,65.0,2.0,1.0,2.8,5.0,Closed balcony,Available,Cosmetic Renovation,11.0,10.0,10.0,859,350000.0,1,6,186,3
0,51,7,1.0,1.0,14.0,70.0,2.0,1.0,3.0,7.0,open_balcony,,designer_renovation,11.0,10.0,10.0,2514,1600.0,1,6,186,3
0,52,9,0.0,0.0,4.0,56.0,2.0,1.0,2.8,2.0,0,partial_furniture,old_renovation,1.0,1.0,0.0,1089,120000.0,1,9,173,-1
1,32,7,1.0,1.0,17.0,128.0,4.0,2.0,3.0,12.0,open_balcony,,major_renovation,1.0,0.0,0.0,2217,1600.0,1,6,186,3
0,19,8,0.0,1.0,9.0,67.0,3.0,1.0,3.0,7.0,0,,designer_renovation,11.0,10.0,10.0,287,1200.0,1,6,186,3
1,54,2,1.0,1.0,9.0,60.0,2.0,1.0,2.8,7.0,Open balcony,Available,Euro Renovation,11.0,10.0,10.0,1088,1700.0,1,6,186,3
0,59,2,1.0,1.0,8.0,121.0,2.0,2.0,3.0,8.0,Open balcony,Available,Euro Renovation,11.0,12.0,10.0,1939,1900.0,1,6,186,3
0,49,7,1.0,1.0,10.0,112.0,3.0,2.0,3.0,5.0,0,,major_renovation,11.0,10.0,10.0,2662,2200.0,1,6,186,3
0,25,2,1.0,1.0,10.0,65.0,3.0,1.0,2.7,7.0,Not available,Available,Euro Renovation,11.0,12.0,10.0,2731,1900.0,1,6,186,3
1,44,3,0.0,1.0,9.0,60.0,2.0,1.0,2.75,6.0,Not available,Available,Major Renovation,10.0,10.0,10.0,836,200000.0,1,6,186,3
1,18,4,0.0,0.0,3.0,77.0,3.0,1.0,2.75,1.0,Not available,By agreement,Major Renovation,11.0,10.0,10.0,2390,240000.0,1,6,186,3
1,35,9,0.0,0.0,5.0,86.0,2.0,1.0,3.0,2.0,open_balcony,,major_renovation,11.0,10.0,10.0,1749,1200.0,1,6,186,3
0,34,4,0.0,0.0,5.0,50.0,2.0,1.0,2.7,3.0,Not available,Available,Euro Renovation,11.0,10.0,12.0,1806,12000.0,0,6,186,3
0,48,7,1.0,1.0,8.0,80.0,3.0,1.0,3.0,6.0,open_balcony,,major_renovation,1.0,0.0,0.0,4209,1500.0,1,6,186,3
1,41,4,0.0,0.0,5.0,110.0,4.0,1.0,3.0,2.0,Open balcony,Available,Major Renovation,11.0,10.0,10.0,2707,1200.0,1,6,186,3
0,67,7,1.0,1.0,17.0,80.0,3.0,1.0,2.8,5.0,open_balcony,1,designer_renovation,1.0,2.0,1.0,2727,24000.0,0,11,142,5
0,40,9,0.0,0.0,5.0,47.0,2.0,1.0,3.0,3.0,open_balcony,1,major_renovation,1.0,1.0,1.0,2555,21000.0,0,12,79,5
1,68,8,0.0,1.0,9.0,80.0,3.0,1.0,2.8,8.0,closed_balcony,1,euro_renovation,1.0,0.0,0.0,2116,350000.0,1,-1,-1,-1
